Location,Price per square feet
"Andheri,Western Suburbs",61324.00
Western Suburbs,16403.00
"Mira-Bhayandar,Western Suburbs",10688.00
"Bandra,Western Suburbs",82027.00
"Borivali (West),Western Suburbs",21641.00
"Goregaon,Western Suburbs",29379.00
"Kandivali West,Western Suburbs",30517.00
"Kandivali East,Western Suburbs",68358.00
"Khar,Western Suburbs",66846.00
"Malad,Western Suburbs",10753.00
"Sanctacruz,Western Suburbs",73994.00
"Vasai,Western Suburbs",18168.00
"Vile Parle,Western Suburbs",32957.00
Eastern Suburbs,15000.00
"Ghatkopar,Eastern Suburbs",27631.00
"Kurla,Eastern Suburbs",37466.00
"Mulund,Eastern Suburbs",37122.00
"Powai,Eastern Suburbs",51426.00
Harbour Suburbs,24775.00
"Govandi,Harbour Suburbs",38963.00
"Trombay,Harbour Suburbs",10707.00
South Mumbai,88900.00
"Antop Hill,South Mumbai",52644.00
"Byculla,South Mumbai",51103.00
"Colaba,South Mumbai",60465.00
"Dadar,South Mumbai",45615.00
"Fort,South Mumbai",25489.00
"Kalbadevi,South Mumbai",24000.00
"Kamathipura,South Mumbai",37657.00
"Tardeo,South Mumbai",56765.00
Mumbai,16778.00
